,County FIPS,Plant state abbreviation,Plant county name,has_plant,Total Population,People of Color (%),Low Income (%),Less Than High School Education (%),Limited English Speaking (%),Unemployment Rate (%),Under Age 5 (%),Over Age 64 (%)
2,01001,AL,Autauga County,0,58239.0,26.902934459726303,30.77002941685413,10.415509668299086,0.14641288433382138,2.8246253239679975,5.697213207644362,15.135905492882776
3,01003,AL,Baldwin County,0,227131.0,17.427387718981556,25.847737876052413,8.985843669162906,0.8372519784378942,3.6858279270217147,5.298704271984009,20.607050556727174
4,01005,AL,Barbour County,0,25259.0,55.390157963498154,50.31460674157303,24.32898027229786,1.287411971830986,8.624186145799978,5.225860089473059,19.007086583000117
5,01007,AL,Bibb County,0,22412.0,25.950383723005533,40.404761904761905,19.461916920969045,0.3247211633488635,9.706818930493027,5.336426914153132,16.036052114938425
6,01009,AL,Blount County,0,58884.0,14.076829019767679,33.46535672033332,16.35192288777417,1.5821596244131455,6.023722769206915,5.887847292982814,17.97432239657632
7,01011,AL,Bullock County,0,10386.0,79.6264201810129,55.01614856681469,22.39348553148175,4.007019596373208,2.997967479674797,5.37261698440208,16.194877720007703
8,01013,AL,Butler County,0,19181.0,49.079818570460354,40.23317435082141,14.435146443514643,0.0,6.545634185500802,5.667066367759762,20.812262134403838
9,01015,AL,Calhoun County,0,116425.0,28.64676830577625,38.454816671668404,14.785143839627226,1.1920081273281409,7.01468498342018,5.768520506764011,17.679192613270345
10,01017,AL,Chambers County,0,34834.0,45.182867313544236,43.31295487627365,17.21846302561624,0.6096167034976758,3.1535477412088597,5.902279382212781,19.60153872653155
11,01019,AL,Cherokee County,0,24975.0,9.065065065065065,39.0738707972517,20.177912779344762,2.156417664052827,4.699815121144303,4.36036036036036,22.862862862862862
12,01021,AL,Chilton County,0,44857.0,20.73255010366275,38.65158371040724,18.23868474487457,2.517811858471199,6.397163871104292,6.04142051407807,16.434447243462557
13,01023,AL,Choctaw County,0,12792.0,43.550656660412756,41.58533682456558,19.416011205689042,0.0,6.053119209388512,5.472170106316447,22.795497185741088
14,01025,AL,Clarke County,0,23346.0,48.47939689882635,43.17717169080865,17.7761386686336,0.2787878787878788,12.23474801061008,6.146663239955453,19.737856592135696
15,01027,AL,Clay County,0,14184.0,19.58544839255499,41.25331993396023,16.99267729962885,0.018521948508983144,6.1171591498185585,5.245346869712352,20.17061477721376
16,01029,AL,Cleburne County,0,15046.0,7.603349727502326,37.291778613648574,16.942892319348424,0.6252232940335835,4.471679364027824,5.749036288714608,19.194470291107272
17,01031,AL,Coffee County,0,53043.0,30.857983145749674,33.38876146788991,13.643779553687471,0.7764430120128919,5.090109890109891,6.055464434515393,16.899496634805725
18,01033,AL,Colbert County,0,56789.0,22.21733082110972,34.491774121831924,13.203763307749444,0.6404593639575972,3.7637098325957283,5.603197802391309,19.611192308369578
19,01035,AL,Conecuh County,0,11778.0,49.89811512990321,49.93183367416496,12.42931332948644,0.38213518032003824,4.671361502347418,4.313126167430803,22.8222109016811
20,01037,AL,Coosa County,0,10442.0,35.93181382876843,35.101838052657726,14.90508266993264,0.0,3.348162022945446,4.453169890825513,23.711932579965524
21,01039,AL,Covington County,0,37490.0,17.15124033075487,40.70462324115825,14.817758601112752,0.0,7.043553149606299,5.6548412910109365,20.925580154707923
22,01041,AL,Crenshaw County,0,13300.0,29.774436090225564,40.290964777947934,18.76952914556621,0.2149151085321298,4.722830051057622,5.458646616541354,19.263157894736842
23,01043,AL,Cullman County,0,87129.0,8.904038838962917,34.562666976420026,15.785215395538529,0.7620146331096876,4.397947294047649,6.071457264515833,18.21092862307613
24,01045,AL,Dale County,0,49443.0,32.60522217502983,39.62744852357683,15.15503183955246,1.314843348741654,8.172043010752688,6.492324494872884,17.00139554638675
25,01047,AL,Dallas County,0,39162.0,73.10147592053521,49.49445193404542,14.092480717352482,0.26416405978449775,8.51694130716534,6.120729278382106,18.28558296307645
26,01049,AL,DeKalb County,0,71554.0,20.36503899153087,46.62842574888464,21.79099531955432,2.605366977852428,4.255183004863066,5.8822707325935655,16.94943678899852
27,01051,AL,Elmore County,0,87146.0,26.980010556996305,25.857945785838282,12.355065262042006,0.7903888713246918,4.758058409268749,5.613568035251188,15.502719574048148
28,01053,AL,Escambia County,0,36879.0,40.04718132270398,48.532658287463576,18.264893451547675,0.5513278459388103,9.76051239209134,5.72683641096559,17.95872990048537
29,01055,AL,Etowah County,0,103468.0,22.926895271968146,38.25197527966831,13.801372694947489,0.4831674893572567,6.1158659842587415,5.825955851084394,18.91502686821046
30,01057,AL,Fayette County,0,16365.0,16.15032080659945,43.89410229320738,16.968168377109063,0.2256608639587363,9.335830571963694,5.523984112435075,20.959364497402994
31,01059,AL,Franklin County,0,32034.0,24.193044889804582,45.25584333543904,20.501661285039074,4.500228206298494,4.622248226431654,7.217331585190736,16.479365673971405
32,01061,AL,Geneva County,0,26604.0,18.463388964065555,44.425868227068925,17.508238545763792,0.5629428321848006,3.4619279992634193,5.4653435573597955,19.98947526687716
33,01063,AL,Greene County,0,7851.0,82.57546809323652,59.51919348584723,15.558366461872064,0.7371007371007371,9.99592003263974,6.865367469112214,22.87606674309005
34,01065,AL,Hale County,0,14819.0,61.664079897428984,48.53435848149928,18.731417244796827,0.0,6.951596292481978,6.606383696605708,19.400769282677643
35,01067,AL,Henry County,0,17165.0,30.748616370521408,38.175493312541235,18.685461399770528,0.18738288569643974,4.949832775919733,4.951937081270026,22.417710457325953
36,01069,AL,Houston County,0,106355.0,34.732734709228524,37.91598939173582,12.24323332291086,0.6278136026280569,5.234084560290689,6.122890320154201,17.79794085844577
37,01071,AL,Jackson County,0,52548.0,11.067975945801933,43.71935626526178,17.57405393937787,0.5721049516669955,5.695540553389749,5.153383573114105,20.107330440739897
38,01073,AL,Jefferson County,0,672550.0,50.81347111738904,33.32254033692391,9.03861114077083,1.5675583574714602,6.094784042725064,6.309121998364434,15.870641587986023
39,01075,AL,Lamar County,0,13929.0,14.028286309139206,36.55107096022148,17.541214314435063,0.0,4.939372325249644,5.8295642185368655,21.803431689281354
40,01077,AL,Lauderdale County,0,93342.0,16.182425917593367,33.582668985050795,11.306415516598284,0.95707656612529,3.816986276261828,5.080242548906173,19.792804953825716
41,01079,AL,Lawrence County,0,33089.0,23.772250596875093,35.47205518757059,16.765953799339993,0.28069612639345576,2.9751712328767126,5.146725497899604,18.138958566290913
42,01081,AL,Lee County,0,172223.0,32.905593329578515,37.4420369277464,8.624695361914787,1.9802921326954153,4.2875750777914465,5.6763614615934,12.270138134860035
43,01083,AL,Limestone County,0,101217.0,24.717191776085045,26.10374486689685,13.479491403708865,1.2793850527812147,4.519256777844823,5.357795627216772,15.093314364187835
44,01085,AL,Lowndes County,0,10334.0,75.16934391329592,52.25641529839741,15.255891786361737,0.0,8.89387144992526,6.202825624153281,19.01490226437004
45,01087,AL,Macon County,0,19490.0,83.53001539250899,45.24894810659186,16.484568147380173,0.04204035874439462,11.006969478490747,4.617752693689072,20.25654181631606
46,01089,AL,Madison County,0,382149.0,35.913217095949484,25.226534955714165,8.02713784793211,1.481718435110841,4.360715359029345,5.788056491054537,14.94731112733515
47,01091,AL,Marengo County,0,19397.0,55.35907614579574,48.40897235263432,13.416130021465808,1.3245033112582782,5.370942812982999,6.578336856214878,19.704077950198485
48,01093,AL,Marion County,0,29392.0,9.1113228089276,42.77016742770167,18.66698405141633,0.9163597161081665,5.929075738125802,4.980947196516059,20.79817637452368
49,01095,AL,Marshall County,0,97179.0,20.143240823634738,39.12889407693831,16.484449797708393,4.2382685741697,3.901603463862587,7.028267424031941,16.86887084658208
50,01097,AL,Mobile County,0,414620.0,43.803000337658574,38.89082177684128,12.140359640359641,0.7953430984846087,5.756792758670497,6.489797887222035,16.270319810911197
51,01099,AL,Monroe County,0,20115.0,46.0949540144171,44.96100628930817,17.595730871854045,0.0,11.857975335411302,5.085756897837435,20.328113348247577
52,01101,AL,Montgomery County,0,229072.0,67.5730774603618,38.154372128360045,12.270843714757795,1.5370116902640967,6.562870644049927,6.728888733673255,15.134542851155969
53,01103,AL,Morgan County,0,122608.0,25.292803079733783,34.29985385943935,15.315921102302758,1.4707431677869318,4.720276620267754,6.027339162208013,17.503751794336424
54,01105,AL,Perry County,0,8702.0,70.60445874511606,61.24335274753102,21.366906474820144,0.0,19.545903257650544,6.446793840496437,19.604688577338543
55,01107,AL,Pickens County,0,19240.0,46.476091476091476,43.4141621129326,16.72883787661406,0.028600028600028603,6.9867817642298355,5.020790020790021,18.91891891891892
56,01109,AL,Pike County,0,33176.0,44.36339522546419,43.10498503851786,12.70684055879169,1.24261383385471,4.436476130211629,5.283940197733301,15.248975162768266
57,01111,AL,Randolph County,0,21984.0,25.159206695778746,41.36740975655256,19.72224024920501,1.126989659579412,3.966885132804415,5.708697234352257,20.874272197962153
58,01113,AL,Russell County,0,58695.0,55.51409830479598,42.848246873432394,14.745630970588971,1.512467049824986,6.35304732999754,6.762075134168158,14.393048811653465
59,01115,AL,St. Clair County,0,90412.0,14.81661726319515,28.303317750133004,13.98776681275026,1.2734059847070867,4.8289163511679405,5.64416227934345,16.747776843781796
60,01117,AL,Shelby County,0,220780.0,23.51435818461817,18.338810875410815,6.375767845795383,1.2328516553868667,3.2757004478700136,5.509104085514992,15.551680405833862
61,01119,AL,Sumter County,0,12482.0,75.1642365005608,56.08583690987125,12.72680145152929,0.2911813643926789,6.972789115646258,6.024675532767184,18.779041820221117
62,01121,AL,Talladega County,0,81850.0,37.89737324373855,43.00024306932593,17.106845876261705,0.5506954496821701,7.936553138170635,5.285277947464874,17.84117287721442
63,01123,AL,Tallapoosa County,0,41284.0,31.324484061621938,39.67622276266981,18.43856076035302,0.5921855921855922,9.949400193302631,5.714078093208022,21.453831993023933
