State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GA,1.85,1.98,2.04,2.2,3.11,3.64,3.9,4.32,4.6,5.45,7.25,8.38,8.69,8.21,8.31,8.36,7.38,7.51,7.51,7.59,8.32,8.23,8.12,8.22,8.14,8.03,8.41,8.4,8.04,8.14,9.93,10.23,9.53,10.79,12.42,15.29,16.45,17.33,21.01,16.7,18.31,21.63,21.84,21.46,21.14,17.11,16.17,17.58,18.35,17.96,16.55,19.77,25.51,22.97
HI,1.72,1.8,1.89,2.16,3.14,3.95,4.27,4.6,5.06,6.12,8.67,11.79,12.3,11.43,11.01,10.22,8.46,8.65,7.83,8.48,9.92,9.81,9.62,10.97,10.72,11.14,13.04,13.32,11.88,12.49,15.23,15.34,14.23,15.6,17.73,21.39,24.33,24.98,35.87,25.21,29.13,37.16,38.62,37.08,36.25,27.1,23.94,26.1,30.37,29.46,30.07,32.69,44.71,40.33
IA,1.8,1.91,2,2.16,2.71,3.13,3.43,3.92,4.34,5.1,6.68,7.74,8.06,8.25,8.06,8.04,7.27,7.04,6.89,7.17,7.66,7.46,7.6,7.74,7.7,7.59,7.96,8.14,7.66,7.92,9.9,10.21,9.36,10.45,11.9,14.3,15.59,16.09,18.05,14.31,15.38,17.81,17.69,17.23,17.65,13.95,12.95,13.71,14.65,13.9,12.67,16.39,20.48,18.09
ID,1.76,1.79,1.82,2.04,2.65,3,3.36,3.72,3.95,4.88,6.64,7.56,7.89,7.77,7.93,8.03,6.96,7.26,7.14,6.96,7.46,7.36,7.52,7.55,7.7,7.52,7.94,7.89,7.37,7.61,9.04,9.78,9.95,10.7,11.68,13.65,15.07,15.91,18.09,15.56,17.18,19.73,20.28,20.24,20.65,16.88,15.49,16.63,18.15,17.13,15.53,19.34,23.86,22.77
IL,1.7,1.79,1.86,2.09,2.77,3.17,3.42,3.81,4.18,5.2,6.72,7.65,8.21,8.5,8.15,8.48,7.81,7.99,7.63,8.03,8.73,8.64,8.51,8.79,8.76,8.71,9.1,9.24,8.81,8.73,10.47,11.1,10.13,11.25,12.47,14.75,15.91,17.3,19.87,15.78,17.26,19.4,19.2,18.38,18.89,15.56,14.58,15.88,16.82,16.01,14.46,18.35,23.98,21.6
IN,1.45,1.52,1.54,1.75,2.43,2.83,3.04,3.47,3.77,4.44,5.65,6.35,6.86,6.84,6.8,6.92,6.3,6.1,6.08,6.33,6.74,6.77,6.64,6.69,7.07,6.89,7.18,7.4,7.07,7.21,8.23,8.82,8.19,9.17,10.19,12.6,13.91,14.46,17.08,14.04,15.02,17.84,18.16,17.99,18.07,15.01,13.81,15.16,15.87,15.39,14.19,17.13,22.01,19.87
KS,1.56,1.57,1.59,1.86,2.46,2.89,3.18,3.55,3.7,4.4,6,7.08,7.45,7.88,7.58,7.31,7.12,7.06,6.86,7.33,7.65,7.42,7.62,7.52,7.41,7.75,8.57,8.86,8.24,8.57,10.41,10.71,9.83,11.11,12.56,14.9,16.19,17.32,19.85,15.67,17.57,20.35,20.98,21.14,21.21,17.01,16.02,17.31,18.33,17.32,15.48,19.06,24.67,22.19
KY,1.68,1.78,1.84,2.06,2.75,3.28,3.38,3.85,4.17,5.06,6.73,7.92,8.28,8.04,7.81,7.94,7.21,7.29,7.25,7.4,7.87,7.71,7.42,7.55,7.59,7.41,7.9,8.07,7.55,7.82,9.3,9.3,8.8,9.77,11.08,13.57,15,16,19.07,15.28,17.22,20.62,20.65,20.8,20.43,16.37,15.27,16.72,17.92,17.36,15.5,19.23,25.3,22.24
LA,0.95,1,1.06,1.17,1.78,2.08,2.36,2.61,2.67,3.39,4.78,5.93,6.64,6.49,6.44,6.54,5.04,5.23,5.16,5.14,5.9,5.58,5.2,5.35,5.26,5.16,6.02,5.7,5.08,5.61,7.6,7.93,7.02,8.58,10.12,13.13,14.25,15.14,19.87,12.79,14.81,17.47,15.1,15.25,15.1,10.54,9.31,10.51,11.6,10.65,8.47,12.48,15.99,12.42
MA,1.89,2.09,2.17,2.41,3.69,4.12,4.32,4.74,4.9,6.57,8.76,10.48,10.14,10.27,10.17,9.93,8.26,8.57,8.72,9.36,10.4,10.67,10.29,10.48,10.75,11.08,11.45,11.77,10.89,10.98,13.03,14.3,12.77,14.76,16.33,19.51,23.41,24.18,27.38,22.08,23.27,26.16,26.87,26.51,26.53,22.37,20.65,22.07,24.8,23.54,22.43,25.73,32.54,31.73
