YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2001,1,AK,Total Electric Power Industry,Coal (Short Tons),"47,615"
2001,1,AK,Total Electric Power Industry,Petroleum (Barrels),"124,998"
2001,1,AK,Total Electric Power Industry,Natural Gas (Mcf),"3,941,267"
2001,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,535"
2001,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"114,198"
2001,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,189,447"
2001,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"22,890"
2001,1,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),550
2001,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"8,190"
2001,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,590"
2001,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"8,660"
2001,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"751,820"
2001,1,AL,Total Electric Power Industry,Coal (Short Tons),"3,020,601"
2001,1,AL,Total Electric Power Industry,Petroleum (Barrels),"284,241"
2001,1,AL,Total Electric Power Industry,Natural Gas (Mcf),"5,213,844"
2001,1,AL,Total Electric Power Industry,Other Gases (Billion BTU),357
2001,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,987,681"
2001,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"174,121"
2001,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,677,044"
2001,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2001,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"13,320"
2001,1,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"3,110"
2001,1,AL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),50
2001,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),540
2001,1,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"29,810"
2001,1,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"110,070"
2001,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,522,940"
2001,1,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),357
2001,1,AR,Total Electric Power Industry,Coal (Short Tons),"1,299,773"
2001,1,AR,Total Electric Power Industry,Petroleum (Barrels),"209,194"
2001,1,AR,Total Electric Power Industry,Natural Gas (Mcf),"2,116,520"
2001,1,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,297,733"
2001,1,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"198,174"
2001,1,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,668,280"
2001,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,500"
2001,1,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,040"
2001,1,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"11,020"
2001,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"445,740"
2001,1,AZ,Total Electric Power Industry,Coal (Short Tons),"1,752,881"
2001,1,AZ,Total Electric Power Industry,Petroleum (Barrels),"268,016"
2001,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),"7,203,167"
2001,1,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,737,661"
2001,1,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"267,616"
2001,1,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,844,567"
2001,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"348,550"
2001,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),20
2001,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"9,980"
2001,1,AZ,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"15,220"
2001,1,AZ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),380
2001,1,AZ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),70
2001,1,CA,Total Electric Power Industry,Coal (Short Tons),"85,430"
2001,1,CA,Total Electric Power Industry,Petroleum (Barrels),"960,824"
2001,1,CA,Total Electric Power Industry,Natural Gas (Mcf),"94,388,265"
2001,1,CA,Total Electric Power Industry,Other Gases (Billion BTU),835
2001,1,CA,Total Electric Power Industry,Geothermal (Billion BTU),"11,219"
2001,1,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"123,074"
2001,1,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,267,925"
2001,1,CA,"Electric Generators, Electric Utilities",Geothermal (Billion BTU),-0
2001,1,CA,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2001,1,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"585,190"
2001,1,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"59,711,330"
2001,1,CA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2001,1,CA,"Electric Generators, Independent Power Producers",Geothermal (Billion BTU),"11,219"
2001,1,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"71,550"
2001,1,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"137,420"
2001,1,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"13,398,260"
2001,1,CA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),1
2001,1,CA,"Combined Heat and Power, Electric Power",Geothermal (Billion BTU),0
2001,1,CA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),210
2001,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,082,860"
2001,1,CA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"13,880"
2001,1,CA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"114,930"
2001,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"7,927,890"
2001,1,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),834
2001,1,CO,Total Electric Power Industry,Coal (Short Tons),"1,761,516"
2001,1,CO,Total Electric Power Industry,Petroleum (Barrels),"41,490"
2001,1,CO,Total Electric Power Industry,Natural Gas (Mcf),"5,895,726"
2001,1,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,750,796"
2001,1,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"39,180"
2001,1,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,697,216"
2001,1,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,410,720"
2001,1,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),"10,720"
2001,1,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),200
2001,1,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,664,700"
2001,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"73,740"
2001,1,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,110"
2001,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"49,350"
2001,1,CT,Total Electric Power Industry,Coal (Short Tons),"129,900"
2001,1,CT,Total Electric Power Industry,Petroleum (Barrels),"1,515,098"
2001,1,CT,Total Electric Power Industry,Natural Gas (Mcf),"1,028,670"
2001,1,CT,Total Electric Power Industry,Other Gases (Billion BTU),2
2001,1,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,398"
2001,1,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2001,1,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"75,420"
2001,1,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,506,590"
2001,1,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"381,850"
2001,1,CT,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),2
2001,1,CT,"Combined Heat and Power, Electric Power",Coal (Short Tons),"54,480"
2001,1,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),900
2001,1,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"510,360"
2001,1,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),180
2001,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"19,080"
2001,1,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,030"
2001,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"117,380"
2001,1,DC,Total Electric Power Industry,Petroleum (Barrels),"25,410"
2001,1,DC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"25,410"
2001,1,DE,Total Electric Power Industry,Coal (Short Tons),"207,094"
2001,1,DE,Total Electric Power Industry,Petroleum (Barrels),"256,313"
2001,1,DE,Total Electric Power Industry,Natural Gas (Mcf),"78,375"
2001,1,DE,Total Electric Power Industry,Other Gases (Billion BTU),252
2001,1,DE,"Electric Generators, Electric Utilities",Coal (Short Tons),"151,554"
2001,1,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"42,153"
2001,1,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,585"
2001,1,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),"52,800"
2001,1,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"141,460"
2001,1,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"71,790"
2001,1,DE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,740"
2001,1,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"72,700"
2001,1,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),252
2001,1,FL,Total Electric Power Industry,Coal (Short Tons),"2,719,355"
2001,1,FL,Total Electric Power Industry,Petroleum (Barrels),"7,416,967"
2001,1,FL,Total Electric Power Industry,Natural Gas (Mcf),"17,984,564"
2001,1,FL,Total Electric Power Industry,Other Gases (Billion BTU),0
2001,1,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,533,625"
2001,1,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,182,317"
2001,1,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"13,605,584"
2001,1,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"182,300"
2001,1,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"767,120"
2001,1,FL,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2001,1,FL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"176,140"
2001,1,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2001,1,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,837,050"
2001,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"39,500"
2001,1,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"9,590"
2001,1,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"52,350"
2001,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"735,310"
2001,1,GA,Total Electric Power Industry,Coal (Short Tons),"2,995,627"
2001,1,GA,Total Electric Power Industry,Petroleum (Barrels),"460,661"
2001,1,GA,Total Electric Power Industry,Natural Gas (Mcf),"889,884"
2001,1,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,945,277"
2001,1,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"196,881"
2001,1,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"21,214"
2001,1,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"65,300"
2001,1,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"315,480"
2001,1,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"3,810"
2001,1,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"53,270"
2001,1,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),590
2001,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2001,1,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"50,350"
2001,1,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"194,080"
2001,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"499,920"
2001,1,HI,Total Electric Power Industry,Coal (Short Tons),"63,330"
2001,1,HI,Total Electric Power Industry,Petroleum (Barrels),"1,176,468"
2001,1,HI,Total Electric Power Industry,Natural Gas (Mcf),0
2001,1,HI,Total Electric Power Industry,Other Gases (Billion BTU),32
2001,1,HI,Total Electric Power Industry,Geothermal (Billion BTU),218
2001,1,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"910,658"
2001,1,HI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2001,1,HI,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2001,1,HI,"Electric Generators, Independent Power Producers",Geothermal (Billion BTU),218
2001,1,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"61,870"
2001,1,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"196,790"
2001,1,HI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),0
2001,1,HI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,460"
2001,1,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"69,020"
2001,1,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),32
2001,1,IA,Total Electric Power Industry,Coal (Short Tons),"2,019,426"
2001,1,IA,Total Electric Power Industry,Petroleum (Barrels),"16,533"
2001,1,IA,Total Electric Power Industry,Natural Gas (Mcf),"487,746"
2001,1,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,967,396"
2001,1,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"11,803"
2001,1,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"232,106"
2001,1,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,190"
2001,1,IA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"5,440"
2001,1,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"3,960"
2001,1,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,020"
2001,1,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"9,580"
2001,1,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"42,630"
2001,1,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),520
2001,1,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"246,060"
2001,1,ID,Total Electric Power Industry,Coal (Short Tons),"3,000"
2001,1,ID,Total Electric Power Industry,Petroleum (Barrels),"1,702"
2001,1,ID,Total Electric Power Industry,Natural Gas (Mcf),"191,880"
2001,1,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,702"
2001,1,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2001,1,ID,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"89,120"
2001,1,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,000"
2001,1,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"102,760"
2001,1,IL,Total Electric Power Industry,Coal (Short Tons),"4,360,851"
2001,1,IL,Total Electric Power Industry,Petroleum (Barrels),"37,968"
2001,1,IL,Total Electric Power Industry,Natural Gas (Mcf),"1,382,059"
2001,1,IL,Total Electric Power Industry,Other Gases (Billion BTU),206
2001,1,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,580,961"
2001,1,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"11,218"
2001,1,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"99,809"
2001,1,IL,"Electric Generators, Independent Power Producers",Coal (Short Tons),"2,694,920"
2001,1,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"21,380"
2001,1,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"416,920"
2001,1,IL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"9,020"
2001,1,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"406,780"
2001,1,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),870
2001,1,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),850
2001,1,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"132,490"
2001,1,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"75,080"
2001,1,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"4,520"
2001,1,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"326,060"
2001,1,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),206
2001,1,IN,Total Electric Power Industry,Coal (Short Tons),"5,181,654"
2001,1,IN,Total Electric Power Industry,Petroleum (Barrels),"89,786"
2001,1,IN,Total Electric Power Industry,Natural Gas (Mcf),"1,691,393"
2001,1,IN,Total Electric Power Industry,Other Gases (Billion BTU),"2,009"
2001,1,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"5,025,074"
2001,1,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"73,496"
2001,1,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"474,243"
2001,1,IN,"Electric Generators, Independent Power Producers",Coal (Short Tons),"144,590"
2001,1,IN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"506,130"
2001,1,IN,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,130"
2001,1,IN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),20
2001,1,IN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,010"
2001,1,IN,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),20
2001,1,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"7,750"
2001,1,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),270
2001,1,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"8,280"
2001,1,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,110"
2001,1,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"16,000"
2001,1,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"699,730"
2001,1,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,989"
2001,1,KS,Total Electric Power Industry,Coal (Short Tons),"1,957,336"
2001,1,KS,Total Electric Power Industry,Petroleum (Barrels),"190,099"
2001,1,KS,Total Electric Power Industry,Natural Gas (Mcf),"782,737"
2001,1,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,957,336"
2001,1,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"189,569"
2001,1,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"754,437"
2001,1,KS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"5,380"
2001,1,KS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),530
2001,1,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"22,920"
2001,1,KY,Total Electric Power Industry,Coal (Short Tons),"3,573,725"
2001,1,KY,Total Electric Power Industry,Petroleum (Barrels),"19,170"
2001,1,KY,Total Electric Power Industry,Natural Gas (Mcf),"222,859"
2001,1,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,094,405"
2001,1,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"18,950"
2001,1,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"61,039"
2001,1,KY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"479,320"
2001,1,KY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),220
2001,1,KY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"6,550"
2001,1,KY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"155,270"
2001,1,LA,Total Electric Power Industry,Coal (Short Tons),"1,457,653"
2001,1,LA,Total Electric Power Industry,Petroleum (Barrels),"1,344,421"
2001,1,LA,Total Electric Power Industry,Natural Gas (Mcf),"26,433,833"
2001,1,LA,Total Electric Power Industry,Other Gases (Billion BTU),263
2001,1,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"809,923"
2001,1,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,004,341"
2001,1,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"14,368,383"
2001,1,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"645,120"
2001,1,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"31,340"
2001,1,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"74,950"
2001,1,LA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"294,700"
2001,1,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"29,020"
2001,1,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,610"
2001,1,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"14,040"
2001,1,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"11,961,480"
2001,1,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),263
2001,1,MA,Total Electric Power Industry,Coal (Short Tons),"434,043"
2001,1,MA,Total Electric Power Industry,Petroleum (Barrels),"2,151,631"
2001,1,MA,Total Electric Power Industry,Natural Gas (Mcf),"5,129,133"
2001,1,MA,"Electric Generators, Electric Utilities",Coal (Short Tons),"37,703"
2001,1,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"68,041"
2001,1,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"21,563"
2001,1,MA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"395,530"
2001,1,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,946,040"
2001,1,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,390,590"
2001,1,MA,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2001,1,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"69,900"
2001,1,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,432,740"
2001,1,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"24,340"
2001,1,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"194,480"
2001,1,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),810
2001,1,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"43,310"
2001,1,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"89,760"
2001,1,MD,Total Electric Power Industry,Coal (Short Tons),"1,080,740"
2001,1,MD,Total Electric Power Industry,Petroleum (Barrels),"681,862"
2001,1,MD,Total Electric Power Industry,Natural Gas (Mcf),"420,200"
2001,1,MD,Total Electric Power Industry,Other Gases (Billion BTU),518
2001,1,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"37,102"
2001,1,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),790
2001,1,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,024,210"
2001,1,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"625,770"
2001,1,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"45,310"
2001,1,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"56,530"
2001,1,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"18,980"
2001,1,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"313,000"
2001,1,MD,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),518
2001,1,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),10
2001,1,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2001,1,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"61,100"
2001,1,ME,Total Electric Power Industry,Coal (Short Tons),"16,140"
2001,1,ME,Total Electric Power Industry,Petroleum (Barrels),"733,860"
2001,1,ME,Total Electric Power Industry,Natural Gas (Mcf),"3,829,270"
2001,1,ME,Total Electric Power Industry,Other Gases (Billion BTU),0
2001,1,ME,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2001,1,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"555,440"
2001,1,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,780,910"
2001,1,ME,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2001,1,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"3,730"
2001,1,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),490
2001,1,ME,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"990,980"
2001,1,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,760"
2001,1,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),20
2001,1,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"12,410"
2001,1,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"176,170"
2001,1,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"57,360"
2001,1,MI,Total Electric Power Industry,Coal (Short Tons),"3,104,700"
2001,1,MI,Total Electric Power Industry,Petroleum (Barrels),"135,194"
2001,1,MI,Total Electric Power Industry,Natural Gas (Mcf),"7,972,181"
2001,1,MI,Total Electric Power Industry,Other Gases (Billion BTU),0
2001,1,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,054,960"
2001,1,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"128,454"
2001,1,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,527,611"
2001,1,MI,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
2001,1,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"9,130"
2001,1,MI,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2001,1,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"21,260"
2001,1,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"5,140"
2001,1,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,146,050"
2001,1,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"6,100"
2001,1,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),750
2001,1,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"11,360"
2001,1,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"22,380"
2001,1,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),850
2001,1,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"278,030"
2001,1,MN,Total Electric Power Industry,Coal (Short Tons),"1,716,888"
2001,1,MN,Total Electric Power Industry,Petroleum (Barrels),"141,354"
2001,1,MN,Total Electric Power Industry,Natural Gas (Mcf),"815,793"
2001,1,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,651,198"
2001,1,MN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"132,224"
2001,1,MN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"262,883"
2001,1,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2001,1,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"217,320"
2001,1,MN,"Combined Heat and Power, Electric Power",Coal (Short Tons),"17,450"
2001,1,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),410
2001,1,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"52,290"
2001,1,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,540"
2001,1,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"173,790"
